GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot,com.example.springboot.controller,SpringController,19,7,0,0,3,2,1,1,1,1
springboot,com.example.springboot,SpringbootApplication,5,3,0,0,2,1,1,1,1,1
